dataset,synth,regime,n,axis,eps_frac_of_worst,eps_abs,worst_degradation,alpha_star,T,n_seeds
adult,gaussian_copula,fresh,2000,var_ratio,0.05,0.002099096663141703,0.04198193326283406,0.48916264311399027,12,3
adult,gaussian_copula,fresh,2000,var_ratio,0.1,0.004198193326283406,0.04198193326283406,0.47832528622798043,12,3
adult,gaussian_copula,fresh,2000,var_ratio,0.25,0.010495483315708515,0.04198193326283406,0.4458132155699512,12,3
adult,gaussian_copula,fresh,2000,w1,0.05,0.0020061389543400633,0.040122779086801265,0.34980306392934024,12,3
adult,gaussian_copula,fresh,2000,w1,0.1,0.004012277908680127,0.040122779086801265,0.2891849266820175,12,3
adult,gaussian_copula,fresh,2000,w1,0.25,0.010030694771700316,0.040122779086801265,0.16930206043190785,12,3
adult,gaussian_copula,fresh,2000,tv_cat,0.05,0.0022690367606412374,0.04538073521282475,0.876885229101889,12,3
adult,gaussian_copula,fresh,2000,tv_cat,0.1,0.004538073521282475,0.04538073521282475,0.7537704582037781,12,3
adult,gaussian_copula,fresh,2000,tv_cat,0.25,0.011345183803206187,0.04538073521282475,0.14783203109984705,12,3
adult,gaussian_copula,fresh,2000,corr_frob,0.05,0.0045871663397420255,0.0917433267948405,0.8962478141602812,12,3
adult,gaussian_copula,fresh,2000,corr_frob,0.1,0.009174332679484051,0.0917433267948405,0.7924956283205625,12,3
adult,gaussian_copula,fresh,2000,corr_frob,0.25,0.022935831698710125,0.0917433267948405,0.34874344296199056,12,3
adult,gaussian_copula,fresh,2000,cat_support,0.05,0.011512027491408939,0.23024054982817876,0.44125,12,3
adult,gaussian_copula,fresh,2000,cat_support,0.1,0.023024054982817878,0.23024054982817876,0.3575000000000001,12,3
adult,gaussian_copula,fresh,2000,cat_support,0.25,0.05756013745704469,0.23024054982817876,0.2170454545454545,12,3
adult,gaussian_copula,fresh,2000,tstr_auc,0.05,0.014506479208482696,0.2901295841696539,0.721597291392372,12,3
adult,gaussian_copula,fresh,2000,tstr_auc,0.1,0.02901295841696539,0.2901295841696539,0.6303537283974917,12,3
adult,gaussian_copula,fresh,2000,tstr_auc,0.25,0.07253239604241347,0.2901295841696539,0.2879630738983301,12,3
adult,gaussian_copula,fresh,2000,c2st_auc,0.05,0.0009197164368922595,0.01839432873784519,0.9525091234868944,12,3
adult,gaussian_copula,fresh,2000,c2st_auc,0.1,0.001839432873784519,0.01839432873784519,0.9050182469737889,12,3
adult,gaussian_copula,fresh,2000,c2st_auc,0.25,0.004598582184461297,0.01839432873784519,0.7625456174344721,12,3
adult,tvae,fixed,2000,var_ratio,0.05,0.012144358760921854,0.24288717521843706,0.9654977407226882,8,2
adult,tvae,fixed,2000,var_ratio,0.1,0.02428871752184371,0.24288717521843706,0.9309954814453765,8,2
adult,tvae,fixed,2000,var_ratio,0.25,0.060721793804609264,0.24288717521843706,0.8274887036134412,8,2
adult,tvae,fixed,2000,w1,0.05,0.0003691771308900971,0.007383542617801941,0.11755437378600292,8,2
adult,tvae,fixed,2000,w1,0.1,0.0007383542617801942,0.007383542617801941,0.08510874757200584,8,2
adult,tvae,fixed,2000,w1,0.25,0.0018458856544504854,0.007383542617801941,0.04433168963018145,8,2
adult,tvae,fixed,2000,tv_cat,0.05,0.0025650480237700405,0.05130096047540081,0.9413466157049994,8,2
adult,tvae,fixed,2000,tv_cat,0.1,0.005130096047540081,0.05130096047540081,0.882693231409999,8,2
adult,tvae,fixed,2000,tv_cat,0.25,0.012825240118850202,0.05130096047540081,0.7067330785249974,8,2
adult,tvae,fixed,2000,corr_frob,0.05,0.0018080942492042147,0.03616188498408429,0.12569036273045348,8,2
adult,tvae,fixed,2000,corr_frob,0.1,0.0036161884984084293,0.03616188498408429,0.1013807254609069,8,2
adult,tvae,fixed,2000,corr_frob,0.25,0.009040471246021073,0.03616188498408429,0.0472101772230444,8,2
adult,tvae,fixed,2000,cat_support,0.05,0.01108247422680413,0.22164948453608257,0.9173076923076923,8,2
adult,tvae,fixed,2000,cat_support,0.1,0.02216494845360826,0.22164948453608257,0.8346153846153845,8,2
adult,tvae,fixed,2000,cat_support,0.25,0.055412371134020644,0.22164948453608257,0.5865384615384612,8,2
adult,tvae,fixed,2000,tstr_auc,0.05,0.0065817321895689845,0.13163464379137968,0.22084834356177505,8,2
adult,tvae,fixed,2000,tstr_auc,0.1,0.013163464379137969,0.13163464379137968,0.11111619711954915,8,2
adult,tvae,fixed,2000,tstr_auc,0.25,0.03290866094784492,0.13163464379137968,0.045043184806773266,8,2
adult,tvae,fixed,2000,c2st_auc,0.05,9.004506755616593e-07,1.8009013511233185e-05,0.9666666666667352,8,2
adult,tvae,fixed,2000,c2st_auc,0.1,1.8009013511233186e-06,1.8009013511233185e-05,0.9333333333334703,8,2
adult,tvae,fixed,2000,c2st_auc,0.25,4.502253377808296e-06,1.8009013511233185e-05,0.8333333333336759,8,2
adult,tvae,fresh,2000,var_ratio,0.05,0.008204072501642878,0.16408145003285757,0.927109772033935,8,2
adult,tvae,fresh,2000,var_ratio,0.1,0.016408145003285756,0.16408145003285757,0.85421954406787,8,2
adult,tvae,fresh,2000,var_ratio,0.25,0.04102036250821439,0.16408145003285757,0.6355488601696753,8,2
adult,tvae,fresh,2000,w1,0.05,0.0012373443664112597,0.024746887328225192,0.9259503089653554,8,2
adult,tvae,fresh,2000,w1,0.1,0.0024746887328225193,0.024746887328225192,0.8519006179307105,8,2
adult,tvae,fresh,2000,w1,0.25,0.006186721832056298,0.024746887328225192,0.6297515448267763,8,2
adult,tvae,fresh,2000,tv_cat,0.05,0.0024032087824765076,0.048064175649530146,0.8700191443798309,8,2
adult,tvae,fresh,2000,tv_cat,0.1,0.004806417564953015,0.048064175649530146,0.7400382887596617,8,2
adult,tvae,fresh,2000,tv_cat,0.25,0.012016043912382536,0.048064175649530146,0.35959854858671647,8,2
adult,tvae,fresh,2000,corr_frob,0.05,0.0020495968029012393,0.040991936058024786,0.145,8,2
adult,tvae,fresh,2000,corr_frob,0.1,0.004099193605802479,0.040991936058024786,0.14,8,2
adult,tvae,fresh,2000,corr_frob,0.25,0.010247984014506197,0.040991936058024786,0.125,8,2
adult,tvae,fresh,2000,cat_support,0.05,0.009536082474226805,0.19072164948453607,0.9288461538461539,8,2
adult,tvae,fresh,2000,cat_support,0.1,0.01907216494845361,0.19072164948453607,0.8576923076923076,8,2
adult,tvae,fresh,2000,cat_support,0.25,0.04768041237113402,0.19072164948453607,0.6442307692307692,8,2
adult,tvae,fresh,2000,tstr_auc,0.05,0.014198690088318333,0.28397380176636666,0.14500000000000002,8,2
adult,tvae,fresh,2000,tstr_auc,0.1,0.028397380176636667,0.28397380176636666,0.13999999999999999,8,2
adult,tvae,fresh,2000,tstr_auc,0.25,0.07099345044159167,0.28397380176636666,0.125,8,2
adult,tvae,fresh,2000,c2st_auc,0.05,7.503755629079123e-08,1.5007511258158246e-06,0.975,8,2
adult,tvae,fresh,2000,c2st_auc,0.1,1.5007511258158246e-07,1.5007511258158246e-06,0.95,8,2
adult,tvae,fresh,2000,c2st_auc,0.25,3.7518778145395615e-07,1.5007511258158246e-06,0.875,8,2
bank-marketing,gaussian_copula,fixed,2000,var_ratio,0.05,0.04755481206743234,0.9510962413486468,0.9875,12,3
bank-marketing,gaussian_copula,fixed,2000,var_ratio,0.1,0.09510962413486468,0.9510962413486468,0.975,12,3
bank-marketing,gaussian_copula,fixed,2000,var_ratio,0.25,0.2377740603371617,0.9510962413486468,0.9375,12,3
bank-marketing,gaussian_copula,fixed,2000,w1,0.05,0.002716517805254572,0.05433035610509144,0.6986515044451291,12,3
bank-marketing,gaussian_copula,fixed,2000,w1,0.1,0.005433035610509144,0.05433035610509144,0.6420114243809634,12,3
bank-marketing,gaussian_copula,fixed,2000,w1,0.25,0.01358258902627286,0.05433035610509144,0.475652735085362,12,3
bank-marketing,gaussian_copula,fixed,2000,tv_cat,0.05,0.001676047055016975,0.0335209411003395,0.8481533048360119,12,3
bank-marketing,gaussian_copula,fixed,2000,tv_cat,0.1,0.00335209411003395,0.0335209411003395,0.6317396318071823,12,3
bank-marketing,gaussian_copula,fixed,2000,tv_cat,0.25,0.008380235275084875,0.0335209411003395,0.34726562957351126,12,3
bank-marketing,gaussian_copula,fixed,2000,corr_frob,0.05,0.01665799565360476,0.3331599130720952,0.857436570709398,12,3
bank-marketing,gaussian_copula,fixed,2000,corr_frob,0.1,0.03331599130720952,0.3331599130720952,0.732373071954338,12,3
bank-marketing,gaussian_copula,fixed,2000,corr_frob,0.25,0.0832899782680238,0.3331599130720952,0.5177547931032145,12,3
bank-marketing,gaussian_copula,fixed,2000,cat_support,0.05,0.0011363636363636409,0.022727272727272818,0.9625000000000004,12,3
bank-marketing,gaussian_copula,fixed,2000,cat_support,0.1,0.0022727272727272817,0.022727272727272818,0.9250000000000007,12,3
bank-marketing,gaussian_copula,fixed,2000,cat_support,0.25,0.0056818181818182045,0.022727272727272818,0.8125000000000018,12,3
bank-marketing,gaussian_copula,fixed,2000,tstr_auc,0.05,0.008403574716140328,0.16807149432280655,0.6547331717995464,12,3
bank-marketing,gaussian_copula,fixed,2000,tstr_auc,0.1,0.016807149432280656,0.16807149432280655,0.5594663435990928,12,3
bank-marketing,gaussian_copula,fixed,2000,tstr_auc,0.25,0.04201787358070164,0.16807149432280655,0.4282921044054151,12,3
bank-marketing,gaussian_copula,fixed,2000,c2st_auc,0.05,0.0036310409116884325,0.07262081823376865,0.7334993866790214,12,3
bank-marketing,gaussian_copula,fixed,2000,c2st_auc,0.1,0.007262081823376865,0.07262081823376865,0.6885273679042252,12,3
bank-marketing,gaussian_copula,fixed,2000,c2st_auc,0.25,0.018155204558442162,0.07262081823376865,0.5536113115798366,12,3
bank-marketing,gaussian_copula,fresh,2000,var_ratio,0.05,0.09212099117626978,1.8424198235253955,0.9507925302140845,12,3
bank-marketing,gaussian_copula,fresh,2000,var_ratio,0.1,0.18424198235253955,1.8424198235253955,0.901585060428169,12,3
bank-marketing,gaussian_copula,fresh,2000,var_ratio,0.25,0.46060495588134887,1.8424198235253955,0.7539626510704224,12,3
bank-marketing,gaussian_copula,fresh,2000,w1,0.05,0.0028727033541707447,0.05745406708341489,0.8950031280934875,12,3
bank-marketing,gaussian_copula,fresh,2000,w1,0.1,0.005745406708341489,0.05745406708341489,0.7900062561869751,12,3
bank-marketing,gaussian_copula,fresh,2000,w1,0.25,0.014363516770853723,0.05745406708341489,0.17841826788509776,12,3
bank-marketing,gaussian_copula,fresh,2000,tv_cat,0.05,0.0018811383677163813,0.037622767354327624,0.23006741465945163,12,3
bank-marketing,gaussian_copula,fresh,2000,tv_cat,0.1,0.0037622767354327626,0.037622767354327624,0.1624763400576996,12,3
bank-marketing,gaussian_copula,fresh,2000,tv_cat,0.25,0.009405691838581906,0.037622767354327624,0.06389523174054931,12,3
bank-marketing,gaussian_copula,fresh,2000,corr_frob,0.05,0.017040541422671928,0.3408108284534386,0.7125896272502215,12,3
bank-marketing,gaussian_copula,fresh,2000,corr_frob,0.1,0.034081082845343856,0.3408108284534386,0.646557953876975,12,3
bank-marketing,gaussian_copula,fresh,2000,corr_frob,0.25,0.08520270711335964,0.3408108284534386,0.47014905481948077,12,3
bank-marketing,gaussian_copula,fresh,2000,cat_support,0.05,0.0007575757575757625,0.015151515151515249,0.0975,12,3
bank-marketing,gaussian_copula,fresh,2000,cat_support,0.1,0.001515151515151525,0.015151515151515249,0.095,12,3
bank-marketing,gaussian_copula,fresh,2000,cat_support,0.25,0.0037878787878788123,0.015151515151515249,0.08750000000000001,12,3
bank-marketing,gaussian_copula,fresh,2000,tstr_auc,0.05,0.007748911100247436,0.1549782220049487,0.6812197453478495,12,3
bank-marketing,gaussian_copula,fresh,2000,tstr_auc,0.1,0.015497822200494872,0.1549782220049487,0.612439490695699,12,3
bank-marketing,gaussian_copula,fresh,2000,tstr_auc,0.25,0.03874455550123718,0.1549782220049487,0.2714163560121703,12,3
bank-marketing,gaussian_copula,fresh,2000,c2st_auc,0.05,0.0034326867066231895,0.06865373413246378,0.664227606650937,12,3
bank-marketing,gaussian_copula,fresh,2000,c2st_auc,0.1,0.006865373413246379,0.06865373413246378,0.5784552133018742,12,3
bank-marketing,gaussian_copula,fresh,2000,c2st_auc,0.25,0.017163433533115946,0.06865373413246378,0.40076706051165256,12,3
credit-g,gaussian_copula,fixed,500,var_ratio,0.05,0.004189962887062093,0.08379925774124186,0.4755393975728299,12,3
credit-g,gaussian_copula,fixed,500,var_ratio,0.1,0.008379925774124187,0.08379925774124186,0.45107879514565985,12,3
credit-g,gaussian_copula,fixed,500,var_ratio,0.25,0.020949814435310465,0.08379925774124186,0.3776969878641497,12,3
credit-g,gaussian_copula,fixed,500,w1,0.05,0.005397281303343281,0.10794562606686563,0.875049286216337,12,3
credit-g,gaussian_copula,fixed,500,w1,0.1,0.010794562606686563,0.10794562606686563,0.7500985724326742,12,3
credit-g,gaussian_copula,fixed,500,w1,0.25,0.026986406516716407,0.10794562606686563,0.3734392294437801,12,3
credit-g,gaussian_copula,fixed,500,tv_cat,0.05,0.0027012820512820513,0.05402564102564102,0.8763497652582163,12,3
credit-g,gaussian_copula,fixed,500,tv_cat,0.1,0.0054025641025641025,0.05402564102564102,0.7526995305164326,12,3
credit-g,gaussian_copula,fixed,500,tv_cat,0.25,0.013506410256410256,0.05402564102564102,0.3861491354466857,12,3
credit-g,gaussian_copula,fixed,500,corr_frob,0.05,0.008607404700590331,0.1721480940118066,0.9389376598878703,12,3
credit-g,gaussian_copula,fixed,500,corr_frob,0.1,0.017214809401180663,0.1721480940118066,0.8778753197757405,12,3
credit-g,gaussian_copula,fixed,500,corr_frob,0.25,0.04303702350295165,0.1721480940118066,0.5109933242376272,12,3
credit-g,gaussian_copula,fixed,500,cat_support,0.05,0.00246913580246913,0.0493827160493826,0.8999999999999989,12,3
credit-g,gaussian_copula,fixed,500,cat_support,0.1,0.00493827160493826,0.0493827160493826,0.7999999999999977,12,3
credit-g,gaussian_copula,fixed,500,cat_support,0.25,0.01234567901234565,0.0493827160493826,0.34999999999999964,12,3
credit-g,gaussian_copula,fixed,500,tstr_auc,0.05,0.007838293650793643,0.15676587301587286,0.49944901315789436,12,3
credit-g,gaussian_copula,fixed,500,tstr_auc,0.1,0.015676587301587285,0.15676587301587286,0.47779057017543825,12,3
credit-g,gaussian_copula,fixed,500,tstr_auc,0.25,0.039191468253968215,0.15676587301587286,0.4128152412280699,12,3
credit-g,gaussian_copula,fixed,500,c2st_auc,0.05,0.011878371972490932,0.23756743944981862,0.8401098720809316,12,3
credit-g,gaussian_copula,fixed,500,c2st_auc,0.1,0.023756743944981864,0.23756743944981862,0.45519623491135425,12,3
credit-g,gaussian_copula,fixed,500,c2st_auc,0.25,0.059391859862454655,0.23756743944981862,0.3879905872783857,12,3
credit-g,gaussian_copula,fixed,2000,var_ratio,0.05,0.0007355437898920903,0.014710875797841805,0.7202482980349901,12,3
credit-g,gaussian_copula,fixed,2000,var_ratio,0.1,0.0014710875797841806,0.014710875797841805,0.6904965960699804,12,3
credit-g,gaussian_copula,fixed,2000,var_ratio,0.25,0.003677718949460451,0.014710875797841805,0.6012414901749508,12,3
credit-g,gaussian_copula,fixed,2000,w1,0.05,0.0014802503512343801,0.029605007024687602,0.45517753162407654,12,3
